NETWORK PATCHING,,,,,,,
DC3-FIC-0000-032-C02,ET29,CEM-DC3-P010,ETH5,10G-CR,,,
DC3-FIC-0000-032-C02,ET30,CEM-DC3-P010,ETH7,10G-CR,,,
DC3-JPM-0000-031-MC1,ET16,CEM-DC3-P010,ETH2,1000-T,,,
DC3-JPM-0000-032-MC2,ET15,CEM-DC3-P010,ETH1,1000-T,,,
DC3-JPM-0000-032-MC2,ET16,CEM-DC3-P010,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET31,CEM-DC3-P011,ETH0,10G-CR,,,
DC3-FIC-0000-031-C01,ET32,CEM-DC3-P011,ETH6,10G-CR,,,
DC3-FIC-0000-031-C01,ET33,CEM-DC3-P011,ETH4,10G-CR,,,
DC3-FIC-0000-032-C02,ET31,CEM-DC3-P011,ETH3,10G-CR,,,
DC3-FIC-0000-032-C02,ET32,CEM-DC3-P011,ETH5,10G-CR,,,
DC3-FIC-0000-032-C02,ET33,CEM-DC3-P011,ETH7,10G-CR,,,
DC3-JPM-0000-031-MC1,ET17,CEM-DC3-P011,ETH2,1000-T,,,
DC3-JPM-0000-032-MC2,ET17,CEM-DC3-P011,ETH1,1000-T,,,
DC3-JPM-0000-031-MC1,ET18,CEM-DC3-P011,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET34,CEM-DC3-P012,ETH0,10G-CR,,,
DC3-FIC-0000-031-C01,ET35,CEM-DC3-P012,ETH6,10G-CR,,,
DC3-FIC-0000-031-C01,ET36,CEM-DC3-P012,ETH4,10G-CR,,,
DC3-FIC-0000-032-C02,ET34,CEM-DC3-P012,ETH3,10G-CR,,,
DC3-FIC-0000-032-C02,ET35,CEM-DC3-P012,ETH5,10G-CR,,,
DC3-FIC-0000-032-C02,ET36,CEM-DC3-P012,ETH7,10G-CR,,,
DC3-JPM-0000-031-MC1,ET19,CEM-DC3-P012,ETH2,1000-T,,,
DC3-JPM-0000-032-MC2,ET18,CEM-DC3-P012,ETH1,1000-T,,,
DC3-JPM-0000-032-MC2,ET19,CEM-DC3-P012,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET37,CEM-DC3-P013,ETH0,10G-CR,,,
DC3-FIC-0000-031-C01,ET38,CEM-DC3-P013,ETH6,10G-CR,,,
DC3-FIC-0000-031-C01,ET39,CEM-DC3-P013,ETH4,10G-CR,,,
DC3-FIC-0000-032-C02,ET37,CEM-DC3-P013,ETH3,10G-CR,,,
DC3-FIC-0000-032-C02,ET38,CEM-DC3-P013,ETH5,10G-CR,,,
DC3-FIC-0000-032-C02,ET39,CEM-DC3-P013,ETH7,10G-CR,,,
DC3-JPM-0000-031-MC1,ET20,CEM-DC3-P013,ETH2,1000-T,,,
DC3-JPM-0000-032-MC2,ET20,CEM-DC3-P013,ETH1,1000-T,,,
DC3-JPM-0000-031-MC1,ET21,CEM-DC3-P013,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET1,CEM-DC3-P001,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET2,CEM-DC3-P001,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET3,CEM-DC3-P001,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET1,CEM-DC3-P001,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET2,CEM-DC3-P001,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET3,CEM-DC3-P001,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET1,CEM-DC3-P001,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET1,CEM-DC3-P001,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET2,CEM-DC3-P001,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET4,CEM-DC3-P002,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET5,CEM-DC3-P002,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET6,CEM-DC3-P002,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET4,CEM-DC3-P002,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET5,CEM-DC3-P002,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET6,CEM-DC3-P002,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET3,CEM-DC3-P002,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET2,CEM-DC3-P002,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-032-ML2,ET3,CEM-DC3-P002,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET7,CEM-DC3-P003,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET8,CEM-DC3-P003,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET9,CEM-DC3-P003,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET7,CEM-DC3-P003,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET8,CEM-DC3-P003,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET9,CEM-DC3-P003,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET4,CEM-DC3-P003,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET4,CEM-DC3-P003,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET5,CEM-DC3-P003,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET10,CEM-DC3-P004,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET11,CEM-DC3-P004,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET12,CEM-DC3-P004,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET10,CEM-DC3-P004,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET11,CEM-DC3-P004,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET12,CEM-DC3-P004,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET6,CEM-DC3-P004,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET5,CEM-DC3-P004,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-032-ML2,ET6,CEM-DC3-P004,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET13,RATE-DC3-P001,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET14,RATE-DC3-P001,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET15,RATE-DC3-P001,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET13,RATE-DC3-P001,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET14,RATE-DC3-P001,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET15,RATE-DC3-P001,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET7,RATE-DC3-P001,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET7,RATE-DC3-P001,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET8,RATE-DC3-P001,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET16,RATE-DC3-P002,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET17,RATE-DC3-P002,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET18,RATE-DC3-P002,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET16,RATE-DC3-P002,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET17,RATE-DC3-P002,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET18,RATE-DC3-P002,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET9,RATE-DC3-P002,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET8,RATE-DC3-P002,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-032-ML2,ET9,RATE-DC3-P002,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET19,RATE-DC3-P003,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET20,RATE-DC3-P003,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET21,RATE-DC3-P003,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET19,RATE-DC3-P003,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET20,RATE-DC3-P003,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET21,RATE-DC3-P003,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET10,RATE-DC3-P003,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET10,RATE-DC3-P003,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET11,RATE-DC3-P003,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET22,RATE-DC3-P004,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET23,RATE-DC3-P004,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET24,RATE-DC3-P004,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET22,RATE-DC3-P004,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET23,RATE-DC3-P004,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET24,RATE-DC3-P004,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET12,RATE-DC3-P004,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET11,RATE-DC3-P004,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-032-ML2,ET12,RATE-DC3-P004,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET25,RATE-DC3-P005,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET26,RATE-DC3-P005,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET27,RATE-DC3-P005,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET25,RATE-DC3-P005,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET26,RATE-DC3-P005,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET27,RATE-DC3-P005,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET13,RATE-DC3-P005,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET13,RATE-DC3-P005,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET14,RATE-DC3-P005,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET28,RATE-DC3-P006,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET29,RATE-DC3-P006,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET30,RATE-DC3-P006,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET28,RATE-DC3-P006,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET29,RATE-DC3-P006,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET30,RATE-DC3-P006,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET15,RATE-DC3-P006,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET14,RATE-DC3-P006,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-032-ML2,ET15,RATE-DC3-P006,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET31,RATE-DC3-P007,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET32,RATE-DC3-P007,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET33,RATE-DC3-P007,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET31,RATE-DC3-P007,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET32,RATE-DC3-P007,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET33,RATE-DC3-P007,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET16,RATE-DC3-P007,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET16,RATE-DC3-P007,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET17,RATE-DC3-P007,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET34,RATE-DC3-P008,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET35,RATE-DC3-P008,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET36,RATE-DC3-P008,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET34,RATE-DC3-P008,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET35,RATE-DC3-P008,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET36,RATE-DC3-P008,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET18,RATE-DC3-P008,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET17,RATE-DC3-P008,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-032-ML2,ET18,RATE-DC3-P008,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET37,RATE-DC3-P009,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET38,RATE-DC3-P009,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET39,RATE-DC3-P009,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET37,RATE-DC3-P009,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET38,RATE-DC3-P009,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET39,RATE-DC3-P009,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET19,RATE-DC3-P009,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET19,RATE-DC3-P009,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET20,RATE-DC3-P009,IMM,1000-T,,,
,,,,,,,
DC3-JPM-0000-032-ML2,ET20,PQT-DC3-F001,IMM,1000-T,,,
DC3-JPM-0000-031-ML1,ET21,PQT-DC3-F001,EM1,1000-T,,,
DC3-JPM-0000-032-ML2,ET21,PQT-DC3-F001,P3P2,1000-T,,,
